Member,Values,Condition
1001.001,50,Below
1001.001,67,Above
1001.001,72,Above
1001.001,77,Above
1001.001,82,Above
1001.001,87,Above
1001.001,92,Above
1001.001,111,Below
1001.001,116,Below
1001.001,121,Below
1001.001,128,Below
1001.001,133,Below
1001.001,138,Below
1001.001,143,Below
1001.001,148,Below
1011.001,46,Below
1011.001,51,Below
1011.001,56,Below
1011.001,61,Below
1011.001,82,Above
1011.001,87,Above
1011.001,106,Below
1011.001,111,Below
1011.001,116,Below
1011.001,121,Below
1011.001,126,Below
1011.001,143,Above
1011.001,148,Above
1011.001,153,Above
1011.001,158,Above
1021.002,78,Below
1021.002,83,Below
1021.002,88,Below
1021.002,93,Below
1021.002,98,Below
1021.002,103,Below
1021.002,108,Below
1021.002,145,Above
1021.002,150,Above
1021.002,155,Above
1031.002,40,Below
1031.002,45,Below
1031.002,50,Below
1031.002,55,Below
1031.002,79,Below
1031.002,85,Below
1031.002,90,Below
1031.002,119,Above
1031.002,124,Above
1031.002,129,Above
1031.002,134,Above
1041.003,71,Above
1041.003,76,Above
1041.003,81,Above
1041.003,86,Above
1041.003,91,Above
1041.003,111,Below
1041.003,116,Below
1041.003,121,Below
1041.003,126,Below
1041.003,131,Below
1041.003,136,Below
1041.003,141,Below
1051.003,56,Below
1051.003,71,Below
1051.003,76,Below
1051.003,81,Below
1051.003,136,Above
1051.003,141,Above
1051.003,146,Above
1051.003,151,Above
1061.004,41,Below
1061.004,46,Below
1061.004,51,Below
1061.004,56,Below
1061.004,61,Below
1061.004,72,Below
1061.004,77,Below
1061.004,82,Below
1061.004,87,Below
1061.004,92,Below
1061.004,120,Above
1061.004,125,Above
1061.004,130,Above
1061.004,135,Above
1071.004,48,Below
1071.004,53,Below
1071.004,58,Below
1071.004,63,Below
1071.004,139,Above
1071.004,144,Above
1071.004,149,Above
1071.004,154,Above
1071.004,159,Above
1081.005,68,Above
1081.005,73,Above
1081.005,78,Above
1081.005,83,Above
1081.005,88,Above
1081.005,93,Above
1081.005,98,Above
1081.005,103,Above
1081.005,132,Above
1081.005,137,Above
1081.005,142,Above
1091.005,71,Above
1091.005,76,Above
1091.005,81,Above
1091.005,86,Above
1101.006,61,Below
1101.006,66,Below
1101.006,90,Below
1101.006,95,Below
1101.006,100,Below
1101.006,105,Below
1101.006,110,Below
1101.006,126,Above
1101.006,131,Above
1101.006,136,Above
1101.006,141,Above
1111.006,80,Above
1111.006,123,Below
1121.007,44,Above
1121.007,64,Above
1121.007,69,Above
1121.007,74,Above
1121.007,79,Above
1131.007,40,Above
1131.007,45,Above
1131.007,50,Above
1131.007,100,Below
1131.007,120,Above
1131.007,125,Above
1131.007,130,Above
1131.007,135,Above
1141.008,40,Below
1141.008,45,Below
1141.008,50,Below
1141.008,55,Below
1141.008,99,Above
1141.008,104,Above
1141.008,118,Below
1141.008,123,Below
1141.008,131,Below
1141.008,155,Above
1141.008,160,Above
1151.008,40,Below
1151.008,45,Below
1151.008,50,Below
1151.008,55,Below
1151.008,60,Below
1151.008,65,Below
1151.008,70,Below
1151.008,75,Below
1151.008,80,Below
1151.008,99,Above
1151.008,104,Above
1151.008,109,Above
1151.008,114,Above
1151.008,119,Above
1161.009,55,Below
1161.009,60,Below
1161.009,65,Below
1161.009,94,Above
1161.009,99,Above
1161.009,104,Above
1161.009,139,Below
1161.009,144,Below
1161.009,149,Below
1171.009,97,Above
1171.009,102,Above
1171.009,107,Above
1171.009,112,Above
1171.009,117,Above
1171.009,160,Below
1181.010,84,Below
1181.010,89,Below
1181.010,94,Below
1181.010,99,Below
1181.010,104,Below
1181.010,136,Above
1181.010,141,Above
1181.010,146,Above
1181.010,151,Above
1191.010,78,Above
1191.010,83,Above
1191.010,88,Above
1191.010,125,Below
1191.010,130,Below
1231.001,101,Above
1231.001,106,Above
1231.001,111,Above
1231.001,116,Above
1231.002,50,Above
1231.002,60,Above
1231.002,85,Below
1231.003,58,Above
1231.003,76,Below
1231.003,81,Below
1231.003,86,Below
1231.003,91,Below
1231.003,96,Below
1231.003,101,Below
1231.003,106,Below
1231.003,111,Below
1231.003,128,Above
1231.003,133,Above
1231.003,138,Above
1231.003,143,Above
1231.004,52,Above
1231.004,57,Above
1231.004,62,Above
1231.004,67,Above
1231.004,76,Below
1231.004,81,Below
1231.004,86,Below
1231.004,91,Below
1231.004,131,Above
1231.004,136,Above
1231.004,141,Above
1231.004,146,Above
1231.005,40,Below
1231.005,45,Below
1231.005,50,Below
1231.005,55,Below
1231.005,60,Below
1231.005,65,Below
1231.005,70,Below
1231.005,85,Above
1231.005,90,Above
1231.005,95,Above
1231.005,100,Above
1231.005,105,Above
1231.005,158,Below
1231.006,73,Below
1231.006,78,Below
1231.006,83,Below
1231.006,88,Below
1231.006,93,Below
1231.006,116,Above
1231.006,121,Above
1231.006,126,Above
1231.006,131,Above
1231.007,40,Below
1231.007,71,Above
1231.007,76,Above
1231.007,81,Above
1231.007,86,Above
1231.007,112,Below
1231.007,147,Above
1231.007,159,Above
1231.008,79,Below
1231.008,84,Below
1231.008,110,Below
1231.008,115,Below
1231.009,40,Below
1231.009,45,Below
1231.009,50,Below
1231.009,55,Below
1231.009,60,Below
1231.009,65,Below
1231.009,70,Below
1231.009,84,Above
1231.009,89,Above
1231.009,94,Above
1231.009,99,Above
1231.009,118,Above
1231.009,134,Below
1231.009,139,Below
1231.010,73,Below
1231.010,78,Below
1231.010,83,Below
1231.010,111,Above
1231.010,116,Above
1231.010,121,Above
1231.010,126,Above
1231.010,131,Above
1231.010,142,Below
1231.010,147,Below
1231.010,152,Below
1231.010,157,Below
1231.011,40,Below
