Member,Values,Condition
1001.001,69,Above
1001.001,112,Below
1011.001,47,Below
1011.001,85,Above
1011.001,105,Below
1011.001,142,Above
1021.002,85,Below
1031.002,24,Below
1031.002,121,Above
1041.003,107,Below
1051.003,138,Above
1061.004,49,Below
1061.004,82,Below
1071.004,50,Below
1081.005,26,Below
1081.005,75,Above
1091.005,20,Below
1101.006,96,Below
1101.006,121,Above
1131.007,33,Above
1141.008,37,Below
1151.008,45,Below
1151.008,99,Above
1171.009,106,Above
1181.010,98,Below
1191.010,80,Above
1231.001,53,Above
1231.001,106,Above
1231.002,31,Below
1231.002,51,Above
1231.003,77,Below
1231.003,128,Above
1231.004,52,Above
1231.004,78,Below
1231.004,142,Above
1231.005,50,Below
1231.005,85,Above
1231.006,125,Above
1231.007,73,Above
1231.008,78,Below
1231.008,134,Above
1231.009,48,Below
1231.009,83,Above
1231.009,137,Below
1231.010,123,Above
1231.010,143,Below
1231.011,23,Below
1231.011,63,Above
1231.012,43,Below
1231.012,130,Above
1231.013,63,Below
1231.014,98,Below
1231.014,119,Above
1231.015,39,Below
1231.015,77,Above
1231.016,29,Below
1231.016,87,Below
1231.017,26,Below
1231.017,54,Above
1231.017,134,Below
1231.018,26,Below
1231.018,91,Below
1231.018,116,Above
1231.019,36,Below
1231.019,74,Above
1231.020,54,Above
1251.001,32,Below
1251.002,45,Above
1251.002,124,Below
1251.003,24,Below
1251.004,55,Above
1251.005,74,Below
1251.006,42,Below
1251.006,85,Above
1251.007,41,Above
1251.007,129,Below
1251.009,35,Below
1251.009,61,Above
1251.009,104,Above
1251.010,20,Below
1251.010,54,Above
1251.010,114,Below
1251.010,138,Above
1251.012,20,Below
1251.012,69,Above
1251.012,94,Above
1251.012,122,Below
1251.013,84,Below
1251.013,127,Above
1251.015,40,Below
1251.016,47,Below
1251.016,110,Above
1251.017,50,Above
1251.017,130,Below
1251.019,43,Below
1251.019,114,Below
1251.020,68,Above
1281.001,105,Below
1281.002,31,Above
1281.002,63,Above
1281.002,85,Below
1281.003,89,Below
1281.003,125,Above
1281.004,23,Below
1281.004,43,Above
1281.004,131,Below
1281.005,36,Above
1281.006,129,Below
1281.007,20,Above
1281.007,65,Below
1281.007,113,Below
1281.008,29,Above
1281.009,33,Above
1281.009,106,Below
1281.010,27,Above
1281.010,121,Above
1281.011,69,Below
1281.011,89,Above
1281.012,20,Above
1281.014,31,Above
1281.014,133,Below
1281.016,53,Below
1281.016,88,Above
1281.016,108,Above
1281.017,38,Above
1281.017,123,Above
1281.018,50,Below
1281.019,23,Above
1281.019,43,Above
1281.019,96,Below
1281.020,74,Above
1281.020,94,Above
1301.001,54,Above
1301.001,74,Above
1301.002,30,Above
1301.002,50,Below
1301.002,144,Below
1301.003,82,Above
1301.003,126,Below
1301.004,29,Above
1301.004,54,Below
1301.004,81,Above
1301.004,122,Below
1301.005,53,Above
1301.006,28,Above
1301.007,26,Above
1301.007,49,Below
1301.007,90,Below
1301.007,119,Above
1301.008,64,Above
1301.008,98,Above
1301.008,123,Below
1301.009,29,Below
1301.011,20,Below
1301.011,40,Above
1301.012,20,Above
1301.012,79,Below
1301.013,49,Above
1301.014,59,Above
1301.014,117,Below
1301.015,25,Above
1301.015,45,Above
1301.015,66,Below
1301.015,86,Below
1301.015,112,Above
1301.016,80,Below
1301.017,64,Below
1301.017,109,Above
1301.019,31,Above
1301.019,81,Below
1301.019,118,Above
1301.020,71,Above
