Member,Values,Condition
1001.001,72,Above
1001.001,143,Below
1031.002,119,Above
1031.002,124,Above
1041.003,140,Below
1131.007,117,Above
1131.007,122,Above
1151.008,105,Above
1171.009,107,Above
1171.009,112,Above
1231.001,105,Above
1231.001,110,Above
1231.003,123,Above
1231.004,54,Above
1231.004,59,Above
1231.006,115,Above
1231.006,120,Above
1231.006,125,Above
1231.010,112,Above
1231.010,117,Above
1231.013,119,Above
1231.014,117,Above
1231.014,122,Above
1231.015,113,Above
1231.017,115,Above
1231.018,120,Above
1231.020,56,Above
1231.020,61,Above
1251.002,45,Above
1251.004,54,Above
1251.004,59,Above
1251.006,144,Below
1251.008,122,Above
1251.009,117,Above
1251.010,56,Above
1251.012,102,Above
1251.013,125,Above
1251.016,107,Above
1251.016,112,Above
1251.016,117,Above
1251.017,53,Above
1251.017,58,Above
1251.017,63,Above
1251.019,142,Below
1281.004,144,Below
1281.005,117,Above
1281.009,40,Above
1281.010,117,Above
1281.010,122,Above
1281.013,107,Above
1281.013,112,Above
1281.015,107,Above
1281.015,112,Above
1281.016,99,Above
1281.016,104,Above
1281.016,109,Above
1281.017,40,Above
1281.017,45,Above
1281.017,50,Above
1281.017,119,Above
1281.017,124,Above
1281.018,116,Above
1281.020,76,Above
1281.020,81,Above
1281.020,86,Above
1281.020,93,Above
1281.020,98,Above
1301.001,55,Above
1301.001,60,Above
1301.001,65,Above
1301.001,144,Below
1301.006,142,Below
1301.007,121,Above
1301.010,121,Above
1301.011,48,Above
1301.013,50,Above
1301.013,144,Below
1301.014,143,Below
1301.015,40,Above
1301.015,45,Above
1301.017,44,Above
1301.017,105,Above
1301.017,110,Above
1301.017,115,Above
1301.019,117,Above
1301.019,122,Above
