Member,Values,Condition
1051.003,157,Below
1081.005,153,Below
1081.005,158,Below
1111.006,157,Below
1121.007,151,Below
1121.007,156,Below
1131.007,122,Above
1231.001,110,Above
1231.003,156,Below
1231.004,153,Below
1231.004,158,Below
1231.005,151,Below
1231.008,155,Below
1231.008,160,Below
1231.010,150,Below
1231.012,153,Below
1231.012,158,Below
1231.019,151,Below
1231.019,156,Below
1251.004,155,Below
1251.005,153,Below
1251.006,148,Below
1251.006,153,Below
1251.007,149,Below
1251.010,153,Below
1251.012,151,Below
1251.014,156,Below
1251.017,57,Above
1251.017,62,Above
1281.002,149,Below
1281.002,154,Below
1281.006,149,Below
1281.006,154,Below
1281.007,159,Below
1281.008,151,Below
1281.008,156,Below
1281.009,153,Below
1281.009,158,Below
1281.011,150,Below
1281.011,155,Below
1281.013,153,Below
1281.013,158,Below
1281.015,151,Below
1281.016,148,Below
1281.016,153,Below
1281.018,153,Below
1281.019,159,Below
1281.020,79,Above
1281.020,84,Above
1281.020,152,Below
1301.001,60,Above
1301.005,154,Below
1301.006,146,Below
1301.006,151,Below
1301.009,150,Below
1301.009,155,Below
1301.010,154,Below
1301.012,155,Below
1301.013,147,Below
1301.013,152,Below
1301.016,157,Below
1301.017,150,Below
1301.018,154,Below
1301.019,121,Above
